コード,銘柄名,カテゴリ,取得時刻,PER,PBR,利回り,始値,高値,安値,終値,出来高,売買代金,VWAP,約定回数,売買最低代金,単元株数,時価総額,売り残(06/26),買り残(06/26),信用倍率(06/26)
2503,キリンホールディングス,東証１,15:00,15.9倍,2.35倍,2.95％,"2,218.0","2,223.5","2,186.0","2,204.5","1,364,800 株","3,004 百万円","2,201.379 円","3,479 回","220,450 円",100 株,2兆149億円,357.0,149.9,0.42
2531,宝ホールディングス,東証１,15:00,36.9倍,1.27倍,2.10％,951,960,942,951,"308,900 株",294 百万円,950.265 円,827 回,"95,100 円",100 株,"1,899億円",344.3,715.6,2.08
2801,キッコーマン,東証１,15:00,－倍,3.51倍,－％,"5,090","5,090","4,940","4,985","519,400 株","2,589 百万円","4,984.833 円","1,263 回","498,500 円",100 株,"9,665億円",133.3,116.8,0.88
2802,味の素,東証１,15:00,43.7倍,1.82倍,1.78％,"1,798.0","1,801.0","1,782.5","1,793.5","829,000 株","1,485 百万円","1,790.943 円","2,042 回","179,350 円",100 株,"9,849億円",198.5,495.3,2.50
2871,ニチレイ,東証１,15:00,21.0倍,2.28倍,1.39％,"3,150","3,165","3,115","3,155","328,700 株","1,034 百万円","3,147.092 円",813 回,"315,500 円",100 株,"4,416億円",100.5,42.8,0.43
2914,ＪＴ,東証１,15:00,11.6倍,1.45倍,7.75％,"2,000.0","2,004.0","1,976.0","1,986.5","2,702,700 株","5,370 百万円","1,986.786 円","4,013 回","198,650 円",100 株,"3兆9,730億円","6,700.8","4,355.1",0.65
3086,Ｊフロント,東証１,15:00,－倍,0.48倍,4.04％,697,702,657,668,"4,183,500 株","2,805 百万円",670.373 円,"4,080 回","66,800 円",100 株,"1,807億円",474.1,"1,109.5",2.34
3099,三越伊勢丹,東証１,15:00,－倍,0.42倍,－％,614,619,589,595,"3,286,800 株","1,963 百万円",597.247 円,"2,917 回","59,500 円",100 株,"2,357億円","1,542.2","1,853.2",1.20
3382,セブン＆アイ,東証１,15:00,－倍,1.15倍,－％,"3,434.0","3,449.0","3,382.0","3,401.0","1,585,800 株","5,403 百万円","3,407.218 円","3,405 回","340,100 円",100 株,3兆148億円,127.1,447.7,3.52
8028,ファミリーマート,東証１,15:00,14.7倍,1.50倍,2.76％,"1,772","1,783","1,713","1,737","1,547,900 株","2,692 百万円","1,738.976 円","3,380 回","173,700 円",100 株,"8,804億円",245.6,475.6,1.94
8233,高島屋,東証１,15:00,－倍,0.33倍,2.82％,878,886,839,851,"2,235,900 株","1,908 百万円",853.338 円,"2,749 回","85,100 円",100 株,"1,513億円",480.5,658.9,1.37
8252,丸井グループ,東証１,15:00,－倍,1.42倍,2.66％,"1,943","1,950","1,892","1,914","865,500 株","1,655 百万円","1,912.649 円","2,538 回","191,400 円",100 株,"4,281億円",259.7,120.5,0.46
8267,イオン,東証１,15:00,－倍,1.98倍,1.44％,"2,534.0","2,536.5","2,484.0","2,508.0","1,474,300 株","3,695 百万円","2,506.434 円","3,947 回","250,800 円",100 株,"2兆1,868億円","1,366.8",182.8,0.13
9983,ファーストリテイリング,東証１,15:00,62.8倍,6.16倍,0.78％,"61,450","61,930","61,270","61,540","416,800 株","25,676 百万円","61,603.277 円","2,497 回","6,154,000 円",100 株,"6兆5,278億円",486.1,337.0,0.69
